region,my_colours
All,#810000
,#85ABD4
African Region (AFR),#D9CFC7
Eastern Mediterranean Region (EMR),#CA8BD3
European Region (EUR),#BB4DDD
Region of the Americas (AMR),#8EE56A
South-East Asian Region (SEAR),#D8CC6A
Western Pacific Region (WPR),#84DBC1
