location,year,AWARE,"DDD/1,000/day",proportion
Taiwan,2004,Watch,4.086,0.223
Taiwan,2004,Reserve,0.004,0
Taiwan,2004,Other,0.084,0.005
Taiwan,2005,Access,14.215,0.783
Taiwan,2005,Watch,3.765,0.207
Taiwan,2005,Reserve,0.004,0
Taiwan,2005,Other,0.17,0.009
Taiwan,2006,Access,13.366,0.769
Taiwan,2006,Watch,3.831,0.22
Taiwan,2006,Reserve,0.003,0
Taiwan,2006,Other,0.184,0.011
Taiwan,2007,Access,11.962,0.762
Taiwan,2007,Watch,3.598,0.229
Taiwan,2007,Reserve,0.004,0
Taiwan,2007,Other,0.134,0.009
Taiwan,2008,Access,11.181,0.752
Taiwan,2008,Watch,3.508,0.236
Taiwan,2008,Reserve,0.009,0.001
Taiwan,2008,Other,0.166,0.011
Taiwan,2009,Access,11.681,0.762
Taiwan,2009,Watch,3.425,0.223
Taiwan,2009,Reserve,0.014,0.001
Taiwan,2009,Other,0.217,0.014
Taiwan,2010,Access,12.906,0.774
Taiwan,2010,Watch,3.598,0.216
Taiwan,2010,Reserve,0.018,0.001
Taiwan,2010,Other,0.141,0.008
Taiwan,2011,Access,16.154,0.783
Taiwan,2011,Watch,4.317,0.209
Taiwan,2011,Reserve,0.019,0.001
Taiwan,2011,Other,0.141,0.007
Taiwan,2012,Access,16.623,0.781
Taiwan,2012,Watch,4.514,0.212
Taiwan,2012,Reserve,0.023,0.001
Taiwan,2012,Other,0.112,0.005
Taiwan,2013,Access,14.944,0.771
Taiwan,2013,Watch,4.266,0.22
Taiwan,2013,Reserve,0.028,0.001
Taiwan,2013,Other,0.145,0.008
Taiwan,2014,Access,15.038,0.762
Taiwan,2014,Watch,4.533,0.23
Taiwan,2014,Reserve,0.023,0.001
Taiwan,2014,Other,0.151,0.008
Taiwan,2015,Access,17.528,0.778
Taiwan,2015,Watch,4.844,0.215
Taiwan,2015,Reserve,0.026,0.001
Taiwan,2015,Other,0.144,0.006
Taiwan,2016,Access,14.15,0.716
Taiwan,2016,Watch,5.427,0.274
Taiwan,2016,Reserve,0.028,0.001
Taiwan,2016,Other,0.167,0.008
Taiwan,2017,Access,12.907,0.712
Taiwan,2017,Watch,4.997,0.276
Taiwan,2017,Reserve,0.032,0.002
Taiwan,2017,Other,0.201,0.011
Taiwan,2018,Access,11.783,0.679
Taiwan,2018,Watch,5.319,0.307
Taiwan,2018,Reserve,0.039,0.002
Taiwan,2018,Other,0.201,0.012
Indonesia,2000,Access,5.992,0.903
Indonesia,2000,Watch,0.64,0.097
Indonesia,2000,Reserve,0,0
Indonesia,2000,Other,0,0
Indonesia,2001,Access,6.966,0.901
Indonesia,2001,Watch,0.765,0.099
Indonesia,2001,Reserve,0,0
Indonesia,2001,Other,0,0
Indonesia,2002,Access,6.838,0.885
Indonesia,2002,Watch,0.89,0.115
Indonesia,2002,Reserve,0,0
Indonesia,2002,Other,0,0
Indonesia,2003,Access,6.73,0.867
Indonesia,2003,Watch,1.031,0.133
Indonesia,2003,Reserve,0,0
Indonesia,2003,Other,0,0
Indonesia,2004,Access,7.241,0.848
Indonesia,2004,Watch,1.301,0.152
Indonesia,2004,Reserve,0,0
Indonesia,2004,Other,0,0
Indonesia,2005,Access,7.438,0.824
Indonesia,2005,Watch,1.594,0.176
Indonesia,2005,Reserve,0,0
Indonesia,2005,Other,0,0
Indonesia,2006,Access,7.149,0.828
Indonesia,2006,Watch,1.489,0.172
Indonesia,2006,Reserve,0,0
Indonesia,2006,Other,0,0
Indonesia,2007,Access,6.408,0.771
Indonesia,2007,Watch,1.898,0.228
Indonesia,2007,Reserve,0,0
Indonesia,2007,Other,0.001,0
Indonesia,2008,Access,1.489,0.677
Indonesia,2008,Watch,0.709,0.322
Indonesia,2008,Reserve,0,0
Indonesia,2008,Other,0.001,0
Indonesia,2009,Access,1.509,0.658
Indonesia,2009,Watch,0.784,0.342
Indonesia,2009,Reserve,0,0
Indonesia,2009,Other,0.001,0
Indonesia,2010,Access,1.703,0.658
Indonesia,2010,Watch,0.886,0.342
Indonesia,2010,Reserve,0,0
Indonesia,2010,Other,0.001,0
Indonesia,2011,Access,1.755,0.635
Indonesia,2011,Watch,1.009,0.365
Indonesia,2011,Reserve,0,0
Indonesia,2011,Other,0.001,0
Indonesia,2012,Access,1.674,0.631
Indonesia,2012,Watch,0.979,0.369
Indonesia,2012,Reserve,0,0
Indonesia,2012,Other,0.001,0
Indonesia,2013,Access,1.822,0.644
Indonesia,2013,Watch,1.007,0.356
Indonesia,2013,Reserve,0,0
Indonesia,2013,Other,0.001,0
Indonesia,2014,Access,1.928,0.641
Indonesia,2014,Watch,1.079,0.359
Indonesia,2014,Reserve,0,0
Indonesia,2014,Other,0.001,0
Indonesia,2015,Access,3.754,0.649
Indonesia,2015,Watch,2.021,0.35
Indonesia,2015,Reserve,0,0
Indonesia,2015,Other,0.005,0.001
Indonesia,2016,Access,3.645,0.637
Indonesia,2016,Watch,2.071,0.362
Indonesia,2016,Reserve,0,0
Indonesia,2016,Other,0.007,0.001
Indonesia,2017,Access,3.123,0.602
Indonesia,2017,Watch,2.058,0.397
Indonesia,2017,Reserve,0,0
Indonesia,2017,Other,0.005,0.001
Indonesia,2018,Access,2.564,0.601
Indonesia,2018,Watch,1.697,0.398
Indonesia,2018,Reserve,0,0
Indonesia,2018,Other,0.006,0.001
Malaysia,2000,Access,3.943,0.743
Malaysia,2000,Watch,1.358,0.256
Malaysia,2000,Reserve,0,0
Malaysia,2000,Other,0.002,0
Malaysia,2001,Access,3.427,0.723
Malaysia,2001,Watch,1.309,0.276
Malaysia,2001,Reserve,0,0
Malaysia,2001,Other,0.003,0.001
Malaysia,2002,Access,3.808,0.724
Malaysia,2002,Watch,1.449,0.275
Malaysia,2002,Reserve,0,0
Malaysia,2002,Other,0.003,0.001
Malaysia,2003,Access,3.821,0.694
Malaysia,2003,Watch,1.677,0.305
Malaysia,2003,Reserve,0,0
Malaysia,2003,Other,0.003,0.001
Malaysia,2004,Access,3.794,0.679
Malaysia,2004,Watch,1.787,0.32
Malaysia,2004,Reserve,0,0
Malaysia,2004,Other,0.004,0.001
