"loc_id","year_id","age_group_id","sex_id","gpr_mean","gpr_lower","gpr_upper"
6,2008,22,3,0.51836122100529,0.286536674975409,0.74390699743102
6,2009,22,3,0.529885739786315,0.313874010705091,0.731658964669627
6,2010,22,3,0.54672114985348,0.315344017866853,0.75227553771453
6,2011,22,3,0.548703721426602,0.309487179605428,0.773891106484101
6,2016,22,3,0.550621293735978,0.327709165582708,0.733613372700967
6,2017,22,3,0.519615208915061,0.306454203072135,0.711798342220074
6,2018,22,3,0.508471930575228,0.29178004227739,0.722081478325419
6,2004,22,3,0.428620881160838,0.218106014721334,0.629452399831749
6,2005,22,3,0.428109868962092,0.216736102707472,0.610021938182964
6,2006,22,3,0.458642486874646,0.23928614541574,0.64174641304314
6,2007,22,3,0.476727222093369,0.270681166717958,0.671077370440902
6,2014,22,3,0.562246779790208,0.384964570169366,0.761792130323601
6,2015,22,3,0.555380262355535,0.349258225293777,0.74142417498406
6,2012,22,3,0.566389900058391,0.339032651816776,0.806990759392944
6,2013,22,3,0.562551995478462,0.37728861069615,0.780195851176128
6,2003,22,3,0.432931679836865,0.241164016281212,0.641752366498406
6,2002,22,3,0.434034396214005,0.238451278951602,0.666061906597751
6,2000,22,3,0.430686908263279,0.208949404493748,0.637299618206078
6,2001,22,3,0.439961861412885,0.224677992116751,0.641949771658787
7,2009,22,3,0.59916232090108,0.326832644349575,0.801561576708316
7,2008,22,3,0.554429536138178,0.29983882064109,0.780206593870178
7,2011,22,3,0.660728092548896,0.437657569371226,0.843880788758171
7,2004,22,3,0.426714565253496,0.207157850772002,0.690925091975874
7,2005,22,3,0.438608025081966,0.232054158049781,0.722857842432327
7,2003,22,3,0.416509713471277,0.192704606544114,0.684839103065439
7,2007,22,3,0.487952672097904,0.243903387546639,0.745324726632718
7,2010,22,3,0.641305008016516,0.40650638238306,0.830769479213356
7,2002,22,3,0.387022573301311,0.177546033997504,0.622484393272811
7,2000,22,3,0.358898112951777,0.155899176616021,0.555389413582099
7,2006,22,3,0.458346488453591,0.228388711186226,0.726950068136047
7,2012,22,3,0.685031511965046,0.470923251303815,0.854672427715851
7,2016,22,3,0.680313276102904,0.464720434463785,0.84939076468396
7,2001,22,3,0.367374565275935,0.158755805807766,0.568924576791736
7,2015,22,3,0.681559043748613,0.424218005470029,0.836339653671196
7,2014,22,3,0.689192182337165,0.394009942785537,0.84667641226039
7,2013,22,3,0.698145161731181,0.426873411332005,0.872457608048605
7,2018,22,3,0.68141348355063,0.498375421497234,0.838453270160854
7,2017,22,3,0.683071623871613,0.488202877413434,0.836190760521335
8,2005,22,3,0.339006081913217,0.192004294874766,0.522288525219863
8,2009,22,3,0.295191243477052,0.15977722987914,0.458851865857976
8,2008,22,3,0.283513316297788,0.153519876480912,0.429300255359824
8,2004,22,3,0.347342940114692,0.209665035431384,0.544256297273459
8,2006,22,3,0.300726565697978,0.183248615489751,0.449652322693445
8,2011,22,3,0.301000297257224,0.165399424352076,0.476668864558484
8,2007,22,3,0.28628024660947,0.160770416356574,0.422977941333913
8,2012,22,3,0.317255643322078,0.160232734620207,0.527939094601635
8,2017,22,3,0.319433784414886,0.146431746997076,0.532958281740151
8,2010,22,3,0.28717309596517,0.174172378763334,0.467586279749162
8,2015,22,3,0.340080605651898,0.172310070457778,0.565824367824017
8,2003,22,3,0.329278051939731,0.173975713687216,0.554691334811307
8,2018,22,3,0.317031432538018,0.140442563415932,0.499113478725545
8,2013,22,3,0.319774430469881,0.14830151715948,0.567968854193822
8,2000,22,3,0.339952371988207,0.154737866772687,0.568658951767401
8,2016,22,3,0.331345937670152,0.15576044702932,0.567801037936778
8,2002,22,3,0.347653680010068,0.160138118824973,0.548650148209012
8,2001,22,3,0.323012843848719,0.156088004753825,0.5421098805692
8,2014,22,3,0.321578114545522,0.14912366169041,0.547565653634402
10,2017,22,3,0.619265868530661,0.482521402339526,0.727336854003507
10,2015,22,3,0.459432162824024,0.352671308659382,0.577508524109614
10,2004,22,3,0.498023569006261,0.275644765932632,0.711548673112486
10,2002,22,3,0.475739693564927,0.294775227290319,0.68568093537542
10,2000,22,3,0.345697085969602,0.170822214030492,0.570728002684308
10,2010,22,3,0.628143742138579,0.461920525232927,0.812493743518922
10,2016,22,3,0.396422329508664,0.274833813345402,0.500352327686578
10,2001,22,3,0.428050836786598,0.261311655415513,0.671068322498525
10,2009,22,3,0.592154645192058,0.403391817806266,0.78700152295925
10,2006,22,3,0.512071176514728,0.270383527687484,0.724761231942775
10,2011,22,3,0.694250964822108,0.552948887215606,0.833174220278134
10,2003,22,3,0.501162543355018,0.293553894959381,0.70863534997266
10,2005,22,3,0.488719758972476,0.269112408200294,0.700724973462874
10,2007,22,3,0.534957655455224,0.307541066134532,0.735787918832884
10,2018,22,3,0.637880596396459,0.500965712435038,0.749743078407903
10,2012,22,3,0.766536349288988,0.650821302072223,0.860192609792649
10,2008,22,3,0.558780717231576,0.350890722194716,0.752361339104583
10,2013,22,3,0.753123099689046,0.63925165999242,0.848085137086885
10,2014,22,3,0.695201946571385,0.571083840530493,0.795739525014703
11,2010,22,3,0.430795099648974,0.25271039366476,0.635922723232845
11,2000,22,3,0.445629415420858,0.222443123463192,0.648440019539669
11,2001,22,3,0.444338340171338,0.239298826956937,0.636009882862453
11,2013,22,3,0.453420440171875,0.259191066513677,0.687798775923298
11,2007,22,3,0.445991767529659,0.248076981124574,0.6920019822078
11,2009,22,3,0.42853852668025,0.241414285238568,0.639937643551439
11,2011,22,3,0.439121595208222,0.254313682456535,0.65475710750479
